8.000000,30.500000,23.000000,264.466339
8.000000,30.500000,22.900000,257.816315
8.000000,31.500000,23.100000,211.413071
8.000000,30.300000,23.200000,289.064911
8.000000,31.000000,23.500000,267.977051
8.000000,30.200000,23.000000,282.273987
8.000000,31.000000,23.300000,254.142380
8.000000,31.300000,23.700000,263.677338
8.000000,30.900000,23.100000,246.643753
8.000000,31.200000,23.200000,235.159210
8.000000,31.200000,23.500000,255.736572
8.000000,31.100000,23.300000,248.004593
8.000000,30.800000,23.400000,273.202942
8.000000,30.700000,23.100000,258.932648
8.000000,31.200000,23.200000,235.159210
8.000000,30.800000,23.200000,259.580688
